BeamNumber,LayerIndex,ControlPointIndex,SpotIndex,Energy_MeVu,Energy_Total_MeV,IEC_X_mm,IEC_Y_mm,TOPAS_LocalX_mm,TOPAS_LocalY_mm,FWHM_IEC_X_mm,FWHM_IEC_Y_mm,Sigma_TOPAS_LocalX_mm,Sigma_TOPAS_LocalY_mm,MetersetWeight_MU,SelectedRelativeWeight,AllocatedHistories
1,1,0,1,120.26,1443.12,0.8999999762,0,0,0.8999999762,14.3114996,14.3114996,6.077534301,6.077534301,2196.77626,0.001789308036,27
1,1,0,2,120.26,1443.12,-56.29999924,25,25,-56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2196.77626,0.001789308036,27
1,1,0,3,120.26,1443.12,56.29999924,-2,-2,56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2196.77626,0.001789308036,27
1,1,0,4,120.26,1443.12,-0.8999999762,-57,-57,-0.8999999762,14.3114996,14.3114996,6.077534301,6.077534301,2196.77626,0.001789308036,27
1,1,0,5,120.26,1443.12,25.10000038,58,58,25.10000038,14.3114996,14.3114996,6.077534301,6.077534301,2196.77626,0.001789308036,27
1,2,2,1,123.91,1486.92,2.599999905,1,1,2.599999905,14.3114996,14.3114996,6.077534301,6.077534301,2167.4813,0.001765446841,27
1,2,2,2,123.91,1486.92,-56.29999924,7,7,-56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2167.4813,0.001765446841,27
1,2,2,3,123.91,1486.92,56.29999924,10,10,56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2167.4813,0.001765446841,27
1,2,2,4,123.91,1486.92,-4.300000191,-57,-57,-4.300000191,14.3114996,14.3114996,6.077534301,6.077534301,2167.4813,0.001765446841,27
1,2,2,5,123.91,1486.92,-54.59999847,58,58,-54.59999847,14.3114996,14.3114996,6.077534301,6.077534301,2167.4813,0.001765446841,27
1,3,4,1,127.51,1530.12,2.599999905,3,3,2.599999905,14.3114996,14.3114996,6.077534301,6.077534301,2616.939458,0.00213153742,32
1,3,4,2,127.51,1530.12,-56.29999924,-9,-9,-56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2616.939458,0.00213153742,32
1,3,4,3,127.51,1530.12,56.29999924,24,24,56.29999924,14.3114996,14.3114996,6.077534301,6.077534301,2616.939458,0.00213153742,32
1,3,4,4,127.51,1530.12,2.599999905,-57,-57,2.599999905,14.3114996,14.3114996,6.077534301,6.077534301,2616.939458,0.00213153742,32
1,3,4,5,127.51,1530.12,-2.599999905,58,58,-2.599999905,14.3114996,14.3114996,6.077534301,6.077534301,2616.939458,0.00213153742,32
1,4,6,1,134.55,1614.6,2.599999905,3,3,2.599999905,13.92844963,13.92844963,5.914867958,5.914867958,2652.685342,0.002160652992,32
1,4,6,2,134.55,1614.6,-56.29999924,-3,-3,-56.29999924,13.92844963,13.92844963,5.914867958,5.914867958,2652.685342,0.002160652992,32
1,4,6,3,134.55,1614.6,56.29999924,-8,-8,56.29999924,13.92844963,13.92844963,5.914867958,5.914867958,2652.685342,0.002160652992,32
1,4,6,4,134.55,1614.6,-25.10000038,-57,-57,-25.10000038,13.92844963,13.92844963,5.914867958,5.914867958,2652.685342,0.002160652992,32
1,4,6,5,134.55,1614.6,0.8999999762,58,58,0.8999999762,13.92844963,13.92844963,5.914867958,5.914867958,2652.685342,0.002160652992,32
1,5,8,1,138,1656,-2.599999905,-2,-2,-2.599999905,13.57124996,13.57124996,5.763179225,5.763179225,1616.737662,0.00131685768,20
1,5,8,2,138,1656,-56.29999924,-5,-5,-56.29999924,13.57124996,13.57124996,5.763179225,5.763179225,1616.737662,0.00131685768,20
1,5,8,3,138,1656,56.29999924,16,16,56.29999924,13.57124996,13.57124996,5.763179225,5.763179225,1616.737662,0.00131685768,20
1,5,8,4,138,1656,-25.10000038,-57,-57,-25.10000038,13.57124996,13.57124996,5.763179225,5.763179225,1616.737662,0.00131685768,20
1,5,8,5,138,1656,11.30000019,58,58,11.30000019,13.57124996,13.57124996,5.763179225,5.763179225,1616.737662,0.00131685768,20
1,6,10,1,141.4,1696.8,-0.8999999762,-1,-1,-0.8999999762,13.57124996,13.57124996,5.763179225,5.763179225,1422.7466,0.001158848979,17
1,6,10,2,141.4,1696.8,-56.29999924,-15,-15,-56.29999924,13.57124996,13.57124996,5.763179225,5.763179225,1422.7466,0.001158848979,17
1,6,10,3,141.4,1696.8,56.29999924,-10,-10,56.29999924,13.57124996,13.57124996,5.763179225,5.763179225,1422.7466,0.001158848979,17
1,6,10,4,141.4,1696.8,23.39999962,-57,-57,23.39999962,13.57124996,13.57124996,5.763179225,5.763179225,1422.7466,0.001158848979,17
1,6,10,5,141.4,1696.8,-6.099999905,56,56,-6.099999905,13.57124996,13.57124996,5.763179225,5.763179225,1422.7466,0.001158848979,17
1,7,12,1,144.75,1737,0.8999999762,-2,-2,0.8999999762,13.24225044,13.24225044,5.623465993,5.623465993,1686.003358,0.001373275655,21
1,7,12,2,144.75,1737,-56.29999924,-5,-5,-56.29999924,13.24225044,13.24225044,5.623465993,5.623465993,1686.003358,0.001373275655,21
1,7,12,3,144.75,1737,56.29999924,4,4,56.29999924,13.24225044,13.24225044,5.623465993,5.623465993,1686.003358,0.001373275655,21
1,7,12,4,144.75,1737,-28.60000038,-57,-57,-28.60000038,13.24225044,13.24225044,5.623465993,5.623465993,1686.003358,0.001373275655,21
1,7,12,5,144.75,1737,-9.5,58,58,-9.5,13.24225044,13.24225044,5.623465993,5.623465993,1686.003358,0.001373275655,21
1,8,14,1,148.06,1776.72,0.8999999762,-2,-2,0.8999999762,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,2,148.06,1776.72,-56.29999924,-5,-5,-56.29999924,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
1,8,14,3,148.06,1776.72,56.29999924,-6,-6,56.29999924,12.9343996,12.9343996,5.492733779,5.492733779,1829.905759,0.001490486373,22
