Energy[MeV/u]	Depth[mm]	Sigma_fit[mm]	Sigma[mm]
120.26	-300	7.75	7.75
120.26	-150	6.84	6.94
120.26	0	5.86	6.09
120.26	150	4.99	5.19
120.26	300	4.1	4.2
123.91	-300	7.5	7.55
123.91	-150	6.62	6.75
123.91	0	5.78	5.93
123.91	150	4.88	5.06
123.91	300	4.04	4.11
127.51	-300	7.37	7.37
127.51	-150	6.56	6.58
127.51	0	5.73	5.77
127.51	150	4.86	4.93
127.51	300	4.06	4.03
131.05	-300	7.16	7.19
131.05	-150	6.37	6.42
131.05	0	5.48	5.63
131.05	150	4.69	4.82
131.05	300	3.93	3.95
134.55	-300	7.01	7.03
134.55	-150	6.2	6.28
134.55	0	5.39	5.5
134.55	150	4.57	4.71
134.55	300	3.84	3.88
138	-300	6.84	6.88
138	-150	6.07	6.14
138	0	5.29	5.38
138	150	4.5	4.61
138	300	3.8	3.8
141.4	-300	6.82	6.74
141.4	-150	6.03	6.01
141.4	0	5.24	5.27
141.4	150	4.48	4.51
141.4	300	3.76	3.74
144.75	-300	6.62	6.6
144.75	-150	5.86	5.88
144.75	0	5.07	5.16
144.75	150	4.25	4.43
144.75	300	3.59	3.67
148.06	-300	6.52	6.47
148.06	-150	5.8	5.77
148.06	0	5.01	5.06
148.06	150	4.31	4.34
148.06	300	3.65	3.61
151.32	-300	6.33	6.35
151.32	-150	5.65	5.66
151.32	0	4.93	4.96
151.32	150	4.2	4.26
151.32	300	3.59	3.56
154.54	-300	6.31	6.24
154.54	-150	5.61	5.56
154.54	0	4.86	4.88
154.54	150	4.2	4.19
154.54	300	3.57	3.5
157.72	-300	6.18	6.13
157.72	-150	5.46	5.46
157.72	0	4.8	4.79
157.72	150	4.14	4.12
157.72	300	3.57	3.45
160.86	-300	6.07	6.03
160.86	-150	5.39	5.37
160.86	0	4.74	4.71
160.86	150	4.1	4.05
160.86	300	3.57	3.4
163.95	-300	6.05	5.93
163.95	-150	5.35	5.28
163.95	0	4.67	4.63
163.95	150	4.08	3.99
163.95	300	3.53	3.35
167.01	-300	5.92	5.84
167.01	-150	5.27	5.2
167.01	0	4.57	4.56
167.01	150	3.97	3.93
167.01	300	3.4	3.3
170.03	-300	5.84	5.75
170.03	-150	5.2	5.12
170.03	0	4.52	4.49
170.03	150	3.95	3.87
170.03	300	3.44	3.26
173.01	-300	5.78	5.66
173.01	-150	5.1	5.04
173.01	0	4.48	4.43
173.01	150	3.89	3.82
173.01	300	3.38	3.22
175.96	-300	5.67	5.58
175.96	-150	4.99	4.97
175.96	0	4.35	4.36
175.96	150	3.74	3.76
175.96	300	3.16	3.18
178.87	-300	5.52	5.5
178.87	-150	4.86	4.9
178.87	0	4.23	4.3
178.87	150	3.63	3.71
178.87	300	3.06	3.14
181.75	-300	5.48	5.43
181.75	-150	4.82	4.83
181.75	0	4.16	4.25
181.75	150	3.57	3.67
181.75	300	3.02	3.1
184.59	-300	5.37	5.36
184.59	-150	4.74	4.77
184.59	0	4.1	4.19
184.59	150	3.55	3.62
184.59	300	3.04	3.06
187.41	-300	5.31	5.29
187.41	-150	4.67	4.71
187.41	0	4.08	4.14
187.41	150	3.5	3.57
187.41	300	2.97	3.03
190.19	-300	5.2	5.22
190.19	-150	4.59	4.65
190.19	0	3.99	4.09
190.19	150	3.46	3.53
190.19	300	2.95	2.99
192.94	-300	5.16	5.16
192.94	-150	4.54	4.59
192.94	0	3.97	4.04
192.94	150	3.44	3.49
192.94	300	2.97	2.96
195.66	-300	5.05	5.1
195.66	-150	4.48	4.54
195.66	0	3.93	3.99
195.66	150	3.4	3.45
195.66	300	2.91	2.93
198.36	-300	4.99	5.04
198.36	-150	4.4	4.49
198.36	0	3.84	3.94
198.36	150	3.31	3.41
198.36	300	2.85	2.9
201.03	-300	4.9	4.98
201.03	-150	4.35	4.44
201.03	0	3.78	3.9
201.03	150	3.25	3.38
201.03	300	2.78	2.87
203.67	-300	4.86	4.92
203.67	-150	4.31	4.39
203.67	0	3.72	3.86
203.67	150	3.21	3.34
203.67	300	2.72	2.84
206.28	-300	4.86	4.87
206.28	-150	4.27	4.34
206.28	0	3.69	3.82
206.28	150	3.16	3.3
206.28	300	2.68	2.82
208.87	-300	4.76	4.82
208.87	-150	4.2	4.29
208.87	0	3.65	3.77
208.87	150	3.23	3.27
208.87	300	2.72	2.79
211.44	-300	4.71	4.77
211.44	-150	4.2	4.25
211.44	0	3.63	3.74
211.44	150	3.16	3.24
211.44	300	2.7	2.76
213.98	-300	4.65	4.72
213.98	-150	4.1	4.2
213.98	0	3.59	3.7
213.98	150	3.08	3.21
213.98	300	2.66	2.74
216.5	-300	4.63	4.67
216.5	-150	4.08	4.16
216.5	0	3.57	3.66
216.5	150	3.04	3.18
216.5	300	2.61	2.71
219	-300	4.57	4.63
219	-150	4.03	4.12
219	0	3.52	3.63
219	150	3.02	3.15
219	300	2.59	2.69
221.48	-300	4.52	4.58
221.48	-150	3.99	4.08
221.48	0	3.48	3.59
221.48	150	3.04	3.12
221.48	300	2.61	2.67
223.94	-300	4.48	4.54
223.94	-150	3.97	4.04
223.94	0	3.46	3.56
223.94	150	2.99	3.09
223.94	300	2.57	2.65
226.37	-300	4.48	4.5
226.37	-150	3.95	4.01
226.37	0	3.46	3.53
226.37	150	2.99	3.06
226.37	300	2.55	2.63
228.79	-300	4.48	4.46
228.79	-150	3.93	3.97
228.79	0	3.44	3.49
228.79	150	2.97	3.04
228.79	300	2.55	2.61
231.19	-300	4.44	4.42
231.19	-150	3.93	3.94
231.19	0	3.4	3.46
231.19	150	2.89	3.01
231.19	300	2.46	2.59
233.58	-300	4.4	4.38
233.58	-150	3.91	3.9
233.58	0	3.4	3.43
233.58	150	2.95	2.98
233.58	300	2.53	2.57
235.94	-300	4.33	4.34
235.94	-150	3.82	3.87
235.94	0	3.42	3.4
235.94	150	2.95	2.96
235.94	300	2.62	2.55
238.29	-300	4.31	4.31
238.29	-150	3.8	3.83
238.29	0	3.35	3.37
238.29	150	2.87	2.94
238.29	300	2.51	2.53
240.63	-300	4.29	4.27
240.63	-150	3.76	3.8
240.63	0	3.29	3.35
240.63	150	2.87	2.91
240.63	300	2.46	2.51
242.95	-300	4.27	4.24
242.95	-150	3.78	3.77
242.95	0	3.27	3.32
242.95	150	2.85	2.89
242.95	300	2.46	2.49
245.25	-300	4.27	4.2
245.25	-150	3.74	3.74
245.25	0	3.27	3.29
245.25	150	2.85	2.87
245.25	300	2.42	2.48
247.54	-300	4.23	4.17
247.54	-150	3.72	3.71
247.54	0	3.25	3.27
247.54	150	2.8	2.85
247.54	300	2.42	2.46
249.82	-300	4.23	4.14
249.82	-150	3.72	3.68
249.82	0	3.25	3.24
249.82	150	2.8	2.83
249.82	300	2.38	2.45
252.09	-300	4.12	4.11
252.09	-150	3.63	3.65
252.09	0	3.21	3.22
252.09	150	2.85	2.8
252.09	300	2.51	2.43
254.34	-300	4.1	4.08
254.34	-150	3.63	3.62
254.34	0	3.18	3.19
254.34	150	2.78	2.78
254.34	300	2.4	2.42
256.58	-300	4.08	4.05
256.58	-150	3.59	3.6
256.58	0	3.18	3.17
256.58	150	2.78	2.77
256.58	300	2.4	2.4
258.81	-300	4.08	4.02
258.81	-150	3.61	3.57
258.81	0	3.16	3.14
258.81	150	2.74	2.75
258.81	300	2.38	2.39
261.03	-300	4.08	3.99
261.03	-150	3.59	3.54
261.03	0	3.16	3.12
261.03	150	2.65	2.73
261.03	300	2.36	2.37
263.23	-300	4.03	3.96
263.23	-150	3.57	3.52
263.23	0	3.16	3.1
263.23	150	2.76	2.71
263.23	300	2.46	2.36
265.43	-300	4.03	3.93
265.43	-150	3.55	3.49
265.43	0	3.08	3.08
265.43	150	2.7	2.69
265.43	300	2.4	2.35
267.62	-300	4.01	3.9
267.62	-150	3.55	3.47
267.62	0	3.12	3.06
267.62	150	2.72	2.67
267.62	300	2.38	2.34
269.8	-300	3.95	3.88
269.8	-150	3.5	3.44
269.8	0	3.08	3.03
269.8	150	2.65	2.66
269.8	300	2.34	2.33
271.97	-300	3.89	3.85
271.97	-150	3.46	3.42
271.97	0	3.04	3.01
271.97	150	2.68	2.64
271.97	300	2.42	2.31
274.13	-300	3.86	3.82
274.13	-150	3.44	3.4
274.13	0	3.06	2.99
274.13	150	2.65	2.62
274.13	300	2.4	2.3
276.28	-300	3.84	3.8
276.28	-150	3.4	3.38
276.28	0	3.02	2.97
276.28	150	2.61	2.61
276.28	300	2.38	2.29
278.42	-300	3.84	3.78
278.42	-150	3.38	3.35
278.42	0	2.97	2.95
