Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
120.26,-250.0,6.78,6.8
120.26,0.0,5.28,5.27
120.26,250.0,3.87,3.83
120.26,500.0,2.59,2.62
123.91,-250.0,6.65,6.59
123.91,0.0,5.18,5.13
123.91,250.0,3.79,3.75
123.91,500.0,2.52,2.58
127.51,-250.0,6.45,6.4
127.51,0.0,5.03,5.0
127.51,250.0,3.7,3.68
127.51,500.0,2.39,2.54
131.05,-250.0,6.19,6.22
131.05,0.0,4.88,4.89
131.05,250.0,3.68,3.61
131.05,500.0,2.58,2.5
134.55,-250.0,6.07,6.06
134.55,0.0,4.76,4.77
134.55,250.0,3.59,3.55
134.55,500.0,2.54,2.47
138.0,-250.0,5.94,5.91
138.0,0.0,4.62,4.67
138.0,250.0,3.48,3.48
138.0,500.0,2.42,2.44
141.4,-250.0,5.84,5.78
141.4,0.0,4.54,4.57
141.4,250.0,3.41,3.42
141.4,500.0,2.29,2.41
144.75,-250.0,5.6,5.65
144.75,0.0,4.43,4.48
144.75,250.0,3.43,3.37
144.75,500.0,2.35,2.38
148.06,-250.0,5.55,5.53
148.06,0.0,4.41,4.39
148.06,250.0,3.36,3.31
148.06,500.0,2.39,2.35
151.32,-250.0,5.45,5.42
151.32,0.0,4.3,4.31
151.32,250.0,3.2,3.26
151.32,500.0,2.27,2.33
154.54,-250.0,5.36,5.32
154.54,0.0,4.25,4.24
154.54,250.0,3.16,3.21
154.54,500.0,2.21,2.3
157.72,-250.0,5.2,5.22
157.72,0.0,4.12,4.16
157.72,250.0,3.11,3.16
157.72,500.0,2.22,2.28
160.86,-250.0,5.08,5.13
160.86,0.0,4.01,4.09
160.86,250.0,2.98,3.11
160.86,500.0,2.09,2.26
163.95,-250.0,5.08,5.04
163.95,0.0,4.04,4.03
163.95,250.0,3.05,3.07
163.95,500.0,2.41,2.24
167.01,-250.0,4.97,4.96
167.01,0.0,3.96,3.97
167.01,250.0,2.96,3.03
167.01,500.0,2.12,2.22
170.03,-250.0,4.93,4.89
170.03,0.0,3.95,3.91
170.03,250.0,3.04,2.99
170.03,500.0,2.19,2.2
173.01,-250.0,4.78,4.81
173.01,0.0,3.86,3.85
173.01,250.0,3.04,2.95
173.01,500.0,2.7,2.18
175.96,-250.0,4.63,4.75
175.96,0.0,3.77,3.8
175.96,250.0,2.98,2.92
175.96,500.0,2.58,2.16
178.87,-250.0,4.58,4.68
178.87,0.0,3.7,3.75
178.87,250.0,2.71,2.88
178.87,500.0,2.04,2.15
181.75,-250.0,4.57,4.62
181.75,0.0,3.72,3.7
181.75,250.0,2.73,2.85
181.75,500.0,2.24,2.13
184.59,-250.0,4.56,4.56
184.59,0.0,3.7,3.66
184.59,250.0,2.68,2.82
184.59,500.0,2.04,2.12
187.41,-250.0,4.43,4.5
187.41,0.0,3.6,3.61
187.41,250.0,2.69,2.79
187.41,500.0,2.27,2.1
190.19,-250.0,4.46,4.45
190.19,0.0,3.61,3.57
190.19,250.0,2.67,2.76
190.19,500.0,2.01,2.09
192.94,-250.0,4.32,4.39
192.94,0.0,3.53,3.53
192.94,250.0,2.63,2.73
192.94,500.0,2.28,2.07
195.66,-250.0,4.26,4.34
195.66,0.0,3.45,3.49
195.66,250.0,2.49,2.7
195.66,500.0,1.89,2.06
198.36,-250.0,4.21,4.29
198.36,0.0,3.45,3.45
198.36,250.0,2.56,2.68
198.36,500.0,2.21,2.05
