Energy[MeV],Min spot meterset [MU/fx]
1443.12,30
1486.92,30
1530.12,
1572.6,30
1614.6,
1656,
1696.8,
1737,25
1776.72,
1815.84,25
1854.48,
1892.64,
1930.32,
1967.4,22
2004.12,
2040.36,
2076.12,
2111.52,22
2146.44,
2181,
2215.08,
2248.92,
2282.28,
2315.28,
2347.92,
2380.32,
2412.36,20
2444.04,
2475.36,
2506.44,
2537.28,
2567.76,
2598,
2628,
2657.76,
2687.28,
2716.44,20
2745.48,
2774.28,
2802.96,
2831.28,
2859.48,
2887.56,
2915.4,
2943,
2970.48,
2997.84,20
3025.08,
3052.08,
3078.96,
3105.72,
3132.36,
3158.76,
3185.16,
3211.44,
3237.6,
3263.64,
3289.56,14
3315.36,
3341.04,
3366.72,
3392.28,
3417.72,
3443.16,
3468.48,
3493.68,
3518.88,
3543.96,
3569.04,
3594,
3618.84,
3643.68,
3668.52,
3693.24,
3717.84,
3742.44,14
3766.92,
3791.4,
3815.88,
3840.24,
3864.48,
3888.72,
3912.96,
3937.08,
3961.08,
3985.08,
4009.08,
4032.96,
4056.72,
4080.48,
4104.12,
4127.64,
4151.16,
4174.56,
4197.96,
4221.24,
4244.4,
4267.44,10
4290.36,
4313.28,
4336.08,
4358.76,
4381.2,
4403.64,
4425.96,
4448.16,
4470.12,
4492.08,
4513.8,
4535.4,
4556.76,
4578.12,
4599.12,
4620.12,
4640.76,
4661.28,
4681.68,
4701.84,
4721.64,
4741.32,
4760.76,
4780.08,
4799.04,10
