Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
120.26,-300.0,7.88,7.39
120.26,-150.0,6.98,6.64
120.26,0.0,6.12,5.86
120.26,150.0,5.25,5.03
120.26,300.0,4.56,4.14
123.91,-300.0,7.5,7.25
123.91,-150.0,6.6,6.52
123.91,0.0,5.73,5.76
123.91,150.0,4.92,4.96
123.91,300.0,4.03,4.09
127.51,-300.0,7.31,7.13
127.51,-150.0,6.41,6.41
127.51,0.0,5.61,5.66
127.51,150.0,4.73,4.88
127.51,300.0,3.93,4.04
131.05,-300.0,7.09,7.0
131.05,-150.0,6.26,6.3
131.05,0.0,5.5,5.57
131.05,150.0,4.65,4.81
131.05,300.0,3.86,3.99
134.55,-300.0,6.92,6.88
134.55,-150.0,6.16,6.19
134.55,0.0,5.39,5.48
134.55,150.0,4.57,4.73
134.55,300.0,3.82,3.93
138.0,-300.0,6.76,6.77
138.0,-150.0,6.06,6.09
138.0,0.0,5.31,5.39
138.0,150.0,4.53,4.66
138.0,300.0,3.79,3.88
141.4,-300.0,6.64,6.65
141.4,-150.0,5.93,5.99
141.4,0.0,5.24,5.3
141.4,150.0,4.56,4.59
141.4,300.0,3.9,3.83
144.75,-300.0,6.53,6.55
144.75,-150.0,5.82,5.89
144.75,0.0,5.14,5.22
144.75,150.0,4.46,4.52
144.75,300.0,3.81,3.78
148.06,-300.0,6.36,6.44
148.06,-150.0,5.74,5.8
148.06,0.0,4.99,5.14
148.06,150.0,4.34,4.45
148.06,300.0,3.6,3.72
151.32,-300.0,6.26,6.34
151.32,-150.0,5.57,5.71
151.32,0.0,4.86,5.06
151.32,150.0,4.17,4.38
151.32,300.0,3.48,3.67
154.54,-300.0,6.15,6.25
154.54,-150.0,5.48,5.62
154.54,0.0,4.81,4.98
154.54,150.0,4.2,4.32
154.54,300.0,3.53,3.62
157.72,-300.0,6.1,6.15
157.72,-150.0,5.43,5.54
157.72,0.0,4.75,4.91
157.72,150.0,4.09,4.26
157.72,300.0,3.47,3.57
160.86,-300.0,5.94,6.06
160.86,-150.0,5.37,5.46
