energy_mevu,depth_mm,x_fwhm_mm,y_fwhm_mm,sigma_x_mm,sigma_y_mm,sigma_fit_mm,reference_sigma_fit_mm,reference_sigma_mm,raw_to_reference_sigma_fit_delta_mm
120.26,-300.0,18.51,18.6,7.860473261768927,7.898692742782391,7.879583002275659,7.88,7.39,-0.0004169977243408951
120.26,-150.0,16.38,16.51,6.955945544450298,7.011151461469746,6.983548502960022,6.98,6.64,0.0035485029600215157
120.26,0.0,14.2,14.6,6.03018478212419,6.200049142184026,6.115116962154108,6.12,5.86,-0.004883037845892169
120.26,150.0,12.27,12.45,5.21058924483548,5.287028206862406,5.248808725848942,5.25,5.03,-0.0011912741510577973
120.26,300.0,10.61,10.87,4.505652150587159,4.616063984626052,4.560858067606606,4.56,4.14,0.0008580676066065607
123.91,-300.0,17.57,17.74,7.461292015628311,7.533484368653741,7.497388192141026,7.5,7.25,-0.002611807858974302
123.91,-150.0,15.54,15.55,6.599230388324641,6.603476997326138,6.6013536928253895,6.6,6.52,0.001353692825389885
123.91,0.0,13.4,13.6,5.690456062004517,5.775388242034436,5.732922152019476,5.73,5.76,0.0029221520194759876
123.91,150.0,11.6,11.58,4.926066441735254,4.917573223732262,4.921819832733759,4.92,4.96,0.0018198327337586306
123.91,300.0,9.62,9.37,4.085237859439064,3.9790726344016663,4.032155246920365,4.03,4.09,0.0021552469203651725
127.51,-300.0,17.32,17.12,7.355126790590914,7.270194610560996,7.312660700575955,7.31,7.13,0.0026607005759551328
127.51,-150.0,15.09,15.1,6.408132983257326,6.412379592258822,6.410256287758074,6.41,6.41,0.0002562877580736256
127.51,0.0,13.2,13.2,5.605523881974599,5.605523881974599,5.605523881974599,5.61,5.66,-0.004476118025401377
127.51,150.0,11.08,11.18,4.705242773657467,4.747708863672425,4.726475818664946,4.73,4.88,-0.003524181335054166
127.51,300.0,9.31,9.2,3.953592980392691,3.9068802813762358,3.9302366308844636,3.93,4.04,0.00023663088446346237
131.05,-300.0,16.59,16.79,7.045124333481712,7.13005651351163,7.087590423496671,7.09,7.0,-0.0024095765033287364
131.05,-150.0,14.72,14.74,6.251008450201978,6.25950166820497,6.255255059203474,6.26,6.3,-0.004744940796525654
131.05,0.0,12.9,13.0,5.478125611929722,5.5205917019446815,5.499358656937202,5.5,5.57,-0.0006413430627976169
131.05,150.0,10.94,10.94,4.645790247636524,4.645790247636524,4.645790247636524,4.65,4.81,-0.00420975236347676
131.05,300.0,9.22,8.98,3.915373499379228,3.813454883343326,3.864414191361277,3.86,3.99,0.004414191361277187
134.55,-300.0,16.38,16.23,6.955945544450298,6.89224640942786,6.924095976939078,6.92,6.88,0.004095976939078483
134.55,-150.0,14.51,14.52,6.161829661170564,6.166076270172059,6.163952965671312,6.16,6.19,0.003952965671311759
134.55,0.0,12.7,12.7,5.393193431899804,5.393193431899804,5.393193431899804,5.39,5.48,0.0031934318998043665
134.55,150.0,10.82,10.72,4.594830939618573,4.552364849603614,4.573597894611094,4.57,4.73,0.0035978946110937216
134.55,300.0,9.19,8.8,3.9026336723747397,3.7370159213164,3.8198247968455696,3.82,3.93,-0.0001752031544302035
138.0,-300.0,15.79,16.05,6.70539561336204,6.815807447400934,6.760601530381487,6.76,6.77,0.0006015303814868034
138.0,-150.0,14.15,14.39,6.0089517371167105,6.110870353152613,6.059911045134662,6.06,6.09,-8.895486533777586e-05
138.0,0.0,12.4,12.6,5.265795161854927,5.350727341884845,5.308261251869886,5.31,5.39,-0.0017387481301138763
138.0,150.0,10.66,10.68,4.526885195594638,4.5353784135976305,4.531131804596134,4.53,4.66,0.001131804596133712
138.0,300.0,9.04,8.8,3.838934537352301,3.7370159213164,3.7879752293343505,3.79,3.88,-0.0020247706656495446
141.4,-300.0,15.65,15.61,6.645943087341097,6.6289566513351135,6.637449869338106,6.64,6.65,-0.0025501306618940234
141.4,-150.0,14.1,13.82,5.987718692109231,5.868813640067346,5.928266166088289,5.93,5.99,-0.0017338339117110024
141.4,0.0,12.5,12.2,5.308261251869886,5.180862981825008,5.244562116847447,5.24,5.3,0.0045621168474472285
141.4,150.0,11.11,10.37,4.717982600661954,4.4037335345512565,4.560858067606605,4.56,4.59,0.0008580676066056725
141.4,300.0,9.8,8.5,4.161676821465991,3.609617651271522,3.8856472363687566,3.9,3.83,-0.01435276363124327
144.75,-300.0,15.47,15.29,6.569504125314171,6.493065163287244,6.531284644300707,6.53,6.55,0.0012846443007070718
144.75,-150.0,13.74,13.69,5.834840768055378,5.813607723047899,5.824224245551639,5.82,5.89,0.0042242455516383615
144.75,0.0,12.2,12.0,5.180862981825008,5.09593080179509,5.138396891810049,5.14,5.22,-0.001603108189950575
144.75,150.0,10.71,10.31,4.548118240602118,4.378253880542282,4.4631860605722,4.46,4.52,0.0031860605722000557
144.75,300.0,9.4,8.5,3.991812461406154,3.609617651271522,3.800715056338838,3.81,3.78,-0.00928494366116217
148.06,-300.0,14.88,15.08,6.318954194225912,6.40388637425583,6.361420284240872,6.36,6.44,0.0014202842408712613
148.06,-150.0,13.5,13.51,5.732922152019476,5.737168761020972,5.735045456520224,5.74,5.8,-0.004954543479776419
148.06,0.0,11.8,11.7,5.0109986217651725,4.9685325317502125,4.9897655767576925,4.99,5.14,-0.00023442324230771305
148.06,150.0,10.34,10.09,4.3909937075467695,4.284828482509372,4.337911095028071,4.34,4.45,-0.00208890497192904
148.06,300.0,8.74,8.2,3.7115362673074244,3.4822193812266446,3.5968778242670343,3.6,3.72,-0.003122175732965804
151.32,-300.0,14.64,14.85,6.217035578190011,6.306214367221424,6.261624972705717,6.26,6.34,0.0016249727057173757
151.32,-150.0,12.96,13.26,5.503605265938698,5.631003535983575,5.567304400961136,5.57,5.71,-0.0026955990388639606
151.32,0.0,11.37,11.5,4.828394434700848,4.883600351720295,4.855997393210572,4.86,5.06,-0.00400260678942832
151.32,150.0,9.9,9.75,4.204142911480949,4.140443776458511,4.172293343969731,4.17,4.38,0.002293343969730799
151.32,300.0,8.4,7.98,3.5671515612565634,3.388793983193735,3.477972772225149,3.48,3.67,-0.0020272277748509815
154.54,-300.0,14.58,14.4,6.191555924181035,6.115116962154109,6.1533364431675714,6.15,6.25,0.0033364431675710904
154.54,-150.0,12.92,12.88,5.486618829932714,5.469632393926731,5.478125611929722,5.48,5.62,-0.0018743880702780658
154.54,0.0,11.35,11.28,4.819901216697856,4.7901749536873846,4.805038085192621,4.81,4.98,-0.004961914807378953
154.54,150.0,10.09,9.69,4.284828482509372,4.1149641224495355,4.199896302479454,4.2,4.32,-0.00010369752054639747
154.54,300.0,8.63,7.99,3.6648235682909696,3.393040592195231,3.5289320802431003,3.53,3.62,-0.0010679197568994603
157.72,-300.0,14.42,14.29,6.1236101801571,6.068404263137653,6.096007221647376,6.1,6.15,-0.003992778352623461
157.72,-150.0,12.77,12.81,5.422919694910275,5.439906130916259,5.431412912913267,5.43,5.54,0.0014129129132669505
157.72,0.0,11.17,11.19,4.74346225467093,4.751955472673922,4.747708863672425,4.75,4.91,-0.0022911363275746055
157.72,150.0,9.66,9.58,4.102224295445048,4.068251423433081,4.085237859439064,4.09,4.26,-0.004762140560935713
157.72,300.0,8.41,7.94,3.571398170258059,3.3718075471877516,3.471602858722905,3.47,3.57,0.0016028587229048874
160.86,-300.0,13.86,14.12,5.885800076073329,5.996211910112223,5.941005993092776,5.94,6.06,0.0010059930927752703
160.86,-150.0,12.6,12.7,5.350727341884845,5.393193431899804,5.371960386892324,5.37,5.46,0.0019603868923239176
160.86,0.0,10.96,11.06,4.654283465639516,4.696749555654475,4.675516510646995,4.68,4.83,-0.004483489353004799
160.86,150.0,9.65,9.49,4.097977686443552,4.030031942419617,4.064004814431584,4.06,4.19,0.0040048144315845136
160.86,300.0,8.17,7.83,3.4694795542221573,3.3250948481712963,3.397287201196727,3.4,3.52,-0.002712798803273131
163.95,-300.0,13.78,14.11,5.851827204061362,5.991965301110727,5.921896252586045,5.92,5.98,0.0018962525860448665
163.95,-150.0,12.4,12.66,5.265795161854927,5.376206995893821,5.321001078874374,5.32,5.38,0.0010010788743732846
163.95,0.0,11.04,10.95,4.688256337651483,4.650036856638019,4.669146597144751,4.67,4.76,-0.0008534028552489303
163.95,150.0,9.37,9.56,3.9790726344016663,4.0597582054300885,4.019415419915878,4.02,4.13,-0.0005845800841219884
163.95,300.0,7.98,7.99,3.388793983193735,3.393040592195231,3.3909172876944833,3.39,3.47,0.000917287694483182
167.01,-300.0,13.64,13.97,5.79237467804042,5.932512775089784,5.862443726565102,5.86,5.89,0.0024437265651018336
167.01,-150.0,12.42,12.54,5.274288379857919,5.325247687875869,5.2997680338668935,5.3,5.3,-0.00023196613310627612
167.01,0.0,10.65,10.86,4.522638586593143,4.611817375624557,4.56722798110885,4.57,4.7,-0.0027720188911501964
167.01,150.0,9.88,9.52,4.195649693477958,4.042771769424105,4.119210731451032,4.12,4.07,-0.0007892685489681028
167.01,300.0,9.04,7.95,3.838934537352301,3.376054156189247,3.607494346770774,3.61,3.43,-0.0025056532292260236
170.03,-300.0,13.46,13.86,5.715935716013493,5.885800076073329,5.80086789604341,5.8,5.81,0.0008678960434105321
170.03,-150.0,11.93,12.33,5.066204538784619,5.236068898844455,5.151136718814537,5.15,5.23,0.0011367188145365859
170.03,0.0,10.72,10.9,4.552364849603614,4.62880381163054,4.590584330617077,4.59,4.63,0.0005843306170767448
170.03,150.0,9.51,9.43,4.038525160422609,4.0045522884106415,4.021538724416626,4.02,4.02,0.0015387244166262803
170.03,300.0,8.45,7.91,3.5883846062640425,3.3590677201832637,3.4737261632236534,3.48,3.38,-0.006273836776346631
173.01,-300.0,13.18,13.58,5.597030663971608,5.766895024031444,5.681962844001526,5.68,5.73,0.0019628440015262427
173.01,-150.0,11.94,12.21,5.070451147786114,5.185109590826505,5.1277803693063095,5.13,5.15,-0.0022196306936903554
173.01,0.0,10.73,10.76,4.5566114586051105,4.5693512856095975,4.5629813721073536,4.56,4.56,0.002981372107353941
173.01,150.0,9.69,9.36,4.1149641224495355,3.97482602540017,4.044895073924852,4.05,3.96,-0.0051049260751474534
173.01,300.0,8.56,7.84,3.635097305280498,3.3293414571727924,3.482219381226645,3.49,3.33,-0.007780618773355119
175.96,-300.0,12.87,13.13,5.465385784925234,5.5757976189641285,5.5205917019446815,5.52,5.66,0.0005917019446819438
175.96,-150.0,11.52,11.74,4.892093569723286,4.985518967756197,4.938806268739741,4.94,5.08,-0.0011937312602592343
175.96,0.0,10.05,10.22,4.267842046503389,4.340034399528819,4.303938223016104,4.3,4.5,0.0039382230161040255
175.96,150.0,8.68,8.74,3.6860566132984487,3.7115362673074244,3.6987964403029365,3.7,3.9,-0.0012035596970636497
175.96,300.0,7.5,7.26,3.1849567511219314,3.0830381350860296,3.1339974431039805,3.13,3.29,0.003997443103980647
178.87,-300.0,12.74,13.04,5.4101798679057875,5.537578137950664,5.473879002928226,5.47,5.58,0.003879002928226072
178.87,-150.0,11.49,11.58,4.879353742718799,4.917573223732262,4.89846348322553,4.9,5.02,-0.001536516774470087
178.87,0.0,10.25,10.14,4.352774226533306,4.306061527516851,4.329417877025079,4.33,4.44,-0.0005821229749214396
178.87,150.0,9.36,8.69,3.97482602540017,3.6903032222999443,3.8325646238500575,3.84,3.85,-0.007435376149942385
178.87,300.0,8.25,7.18,3.5034524262341247,3.0490652630740622,3.2762588446540937,3.28,3.24,-0.003741155345906133
181.75,-300.0,12.6,12.85,5.350727341884845,5.456892566922242,5.403809954403544,5.4,5.51,0.0038099544035432586
181.75,-150.0,11.35,11.63,4.819901216697856,4.938806268739742,4.8793537427187985,4.88,4.95,-0.0006462572812013789
181.75,0.0,10.07,10.21,4.27633526450638,4.335787790527323,4.306061527516851,4.31,4.38,-0.003938472483148381
181.75,150.0,8.76,8.71,3.7200294853104157,3.698796440302937,3.7094129628066765,3.71,3.8,-0.0005870371933234253
181.75,300.0,7.77,7.23,3.2996151941623206,3.0702983080815422,3.1849567511219314,3.19,3.2,-0.005043248878068507
184.59,-300.0,12.55,12.77,5.329494296877366,5.422919694910275,5.376206995893821,5.38,5.45,-0.003793004106179332
184.59,-150.0,11.19,11.34,4.751955472673922,4.81565460769636,4.7838050401851415,4.78,4.89,0.003805040185141273
184.59,0.0,10.04,9.99,4.263595437501892,4.242362392494413,4.2529789149981525,4.25,4.32,0.0029789149981525043
184.59,150.0,8.95,8.61,3.800715056338838,3.656330350287977,3.7285227033134074,3.73,3.75,-0.0014772966865925774
184.59,300.0,8.29,7.19,3.5204388622401077,3.0533118720755583,3.2868753671578332,3.3,3.16,-0.013124632842166584
187.41,-300.0,12.84,12.67,5.452645957920747,5.380453604895316,5.4165497814080314,5.42,5.38,-0.003450218591968479
187.41,-150.0,11.36,11.25,4.8241478256993515,4.777435126682898,4.800791476191124,4.8,4.83,0.0007914761911242962
187.41,0.0,9.88,9.94,4.195649693477958,4.221129347486933,4.208389520482445,4.21,4.27,-0.0016104795175548858
187.41,150.0,8.67,8.68,3.6818100042969526,3.6860566132984487,3.683933308797701,3.68,3.7,0.0039333087977007075
187.41,300.0,7.28,7.36,3.0915313530890214,3.125504225100989,3.1085177890950053,3.11,3.12,-0.001482210904994563
190.19,-300.0,12.6,12.43,5.350727341884845,5.278534988859414,5.31463116537213,5.31,5.31,0.004631165372130042
190.19,-150.0,11.06,11.04,4.696749555654475,4.688256337651483,4.692502946652979,4.69,4.77,0.002502946652978899
190.19,0.0,9.49,9.67,4.030031942419617,4.106470904446543,4.068251423433081,4.07,4.21,-0.001748576566919624
190.19,150.0,8.22,8.38,3.4907125992296373,3.5586583432535717,3.5246854712416047,3.52,3.65,0.004685471241604677
190.19,300.0,6.79,7.01,2.883447512015722,2.9768729100486317,2.930160211032177,2.93,3.08,0.00016021103217678245
192.94,-300.0,12.55,12.26,5.329494296877366,5.206342635833984,5.267918466355675,5.27,5.25,-0.002081533644324729
192.94,-150.0,10.98,10.85,4.662776683642508,4.607570766623061,4.635173725132784,4.64,4.71,-0.004826274867215652
192.94,0.0,9.44,9.54,4.008798897412137,4.051264987427096,4.030031942419617,4.03,4.16,3.1942419616903805e-05
192.94,150.0,8.14,8.28,3.45673972721767,3.516192253238612,3.486465990228141,3.49,3.6,-0.0035340097718590258
192.94,300.0,6.64,6.85,2.8197483769932834,2.9089271660246974,2.8643377715089904,2.86,3.04,0.004337771508990507
195.66,-300.0,12.52,12.07,5.316754469872877,5.125657064805562,5.221205767339219,5.22,5.19,0.001205767339219399
195.66,-150.0,11.03,10.7,4.684009728649987,4.543871631600622,4.613940680125305,4.61,4.65,0.003940680125304574
195.66,0.0,9.48,9.33,4.0257853334181215,3.9620861983956828,3.993935765906902,3.99,4.11,0.0039357659069017
195.66,150.0,8.13,8.09,3.452493118216174,3.43550668221019,3.443999900213182,3.44,3.56,0.003999900213182084
195.66,300.0,6.67,6.7,2.832488203997771,2.8452280310022586,2.8388581175000147,2.84,3.0,-0.0011418824999851473
198.36,-300.0,12.44,12.05,5.28278159786091,5.11716384680257,5.19997272233174,5.2,5.13,-2.7277668260161647e-05
198.36,-150.0,10.84,10.71,4.603324157621564,4.548118240602118,4.575721199111841,4.58,4.6,-0.004278800888158685
