Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
120.26,-300.0,7.879583002275659,7.879583002275659
120.26,-150.0,6.983548502960022,6.983548502960022
120.26,0.0,6.115116962154108,6.115116962154108
120.26,150.0,5.248808725848942,5.248808725848942
120.26,300.0,4.560858067606606,4.560858067606606
123.91,-300.0,7.497388192141026,7.497388192141026
123.91,-150.0,6.6013536928253895,6.6013536928253895
123.91,0.0,5.732922152019476,5.732922152019476
123.91,150.0,4.921819832733759,4.921819832733759
123.91,300.0,4.032155246920365,4.032155246920365
127.51,-300.0,7.312660700575955,7.312660700575955
127.51,-150.0,6.410256287758074,6.410256287758074
127.51,0.0,5.605523881974599,5.605523881974599
127.51,150.0,4.726475818664946,4.726475818664946
127.51,300.0,3.9302366308844636,3.9302366308844636
131.05,-300.0,7.087590423496671,7.087590423496671
131.05,-150.0,6.255255059203474,6.255255059203474
131.05,0.0,5.499358656937202,5.499358656937202
131.05,150.0,4.645790247636524,4.645790247636524
131.05,300.0,3.864414191361277,3.864414191361277
134.55,-300.0,6.924095976939078,6.924095976939078
134.55,-150.0,6.163952965671312,6.163952965671312
134.55,0.0,5.393193431899804,5.393193431899804
134.55,150.0,4.573597894611094,4.573597894611094
134.55,300.0,3.8198247968455696,3.8198247968455696
138.0,-300.0,6.760601530381487,6.760601530381487
138.0,-150.0,6.059911045134662,6.059911045134662
138.0,0.0,5.308261251869886,5.308261251869886
138.0,150.0,4.531131804596134,4.531131804596134
138.0,300.0,3.7879752293343505,3.7879752293343505
141.4,-300.0,6.637449869338106,6.637449869338106
141.4,-150.0,5.928266166088289,5.928266166088289
141.4,0.0,5.244562116847447,5.244562116847447
141.4,150.0,4.560858067606605,4.560858067606605
141.4,300.0,3.8856472363687566,3.8856472363687566
144.75,-300.0,6.531284644300707,6.531284644300707
144.75,-150.0,5.824224245551639,5.824224245551639
144.75,0.0,5.138396891810049,5.138396891810049
144.75,150.0,4.4631860605722,4.4631860605722
144.75,300.0,3.800715056338838,3.800715056338838
148.06,-300.0,6.361420284240872,6.361420284240872
148.06,-150.0,5.735045456520224,5.735045456520224
148.06,0.0,4.9897655767576925,4.9897655767576925
148.06,150.0,4.337911095028071,4.337911095028071
148.06,300.0,3.5968778242670343,3.5968778242670343
151.32,-300.0,6.261624972705717,6.261624972705717
151.32,-150.0,5.567304400961136,5.567304400961136
151.32,0.0,4.855997393210572,4.855997393210572
151.32,150.0,4.172293343969731,4.172293343969731
151.32,300.0,3.477972772225149,3.477972772225149
154.54,-300.0,6.1533364431675714,6.1533364431675714
154.54,-150.0,5.478125611929722,5.478125611929722
154.54,0.0,4.805038085192621,4.805038085192621
154.54,150.0,4.199896302479454,4.199896302479454
154.54,300.0,3.5289320802431003,3.5289320802431003
157.72,-300.0,6.096007221647376,6.096007221647376
157.72,-150.0,5.431412912913267,5.431412912913267
157.72,0.0,4.747708863672425,4.747708863672425
157.72,150.0,4.085237859439064,4.085237859439064
157.72,300.0,3.471602858722905,3.471602858722905
160.86,-300.0,5.941005993092776,5.941005993092776
160.86,-150.0,5.371960386892324,5.371960386892324
160.86,0.0,4.675516510646995,4.675516510646995
160.86,150.0,4.064004814431584,4.064004814431584
160.86,300.0,3.397287201196727,3.397287201196727
163.95,-300.0,5.921896252586045,5.921896252586045
163.95,-150.0,5.321001078874374,5.321001078874374
163.95,0.0,4.669146597144751,4.669146597144751
163.95,150.0,4.019415419915878,4.019415419915878
163.95,300.0,3.3909172876944833,3.3909172876944833
167.01,-300.0,5.862443726565102,5.862443726565102
167.01,-150.0,5.2997680338668935,5.2997680338668935
167.01,0.0,4.56722798110885,4.56722798110885
167.01,150.0,4.119210731451032,4.119210731451032
