BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,NumberOfSpots,TotalMetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,FWHM_X_mm,FWHM_Y_mm,CumulativeMetersetWeightBeforeLayer_MU,MinX_mm,MaxX_mm,MinY_mm,MaxY_mm
1,1,1,0,120.26,313,10983.881301879883,0.008946540180807965,0.008946540180807965,1,14.31149959564209,14.31149959564209,0.0,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,2,2,123.91,287,10837.40650177002,0.008827234204291774,0.008827234204291774,1,14.31149959564209,14.31149959564209,10983.881300000005,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,3,4,127.51,326,13084.697288513184,0.01065768709876326,0.01065768709876326,1,14.31149959564209,14.31149959564209,21821.287800000006,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,4,6,134.55,344,13263.426712036133,0.010803264961915063,0.010803264961915063,1,13.928449630737305,13.928449630737305,34905.98510000001,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,5,8,138.0,237,8083.68830871582,0.006584288401830779,0.006584288401830779,1,13.571249961853027,13.571249961853027,48169.411800000016,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,6,10,141.4,231,7113.733001708984,0.005794244892689853,0.005794244892689853,1,13.571249961853027,13.571249961853027,56253.10010000001,-56.29999923706055,56.29999923706055,-57.0,56.0
1,1,7,12,144.75,302,8430.016790390015,0.006866378274426735,0.006866378274426735,1,13.242250442504883,13.242250442504883,63366.83310000001,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,8,14,148.06,318,9149.52879524231,0.007452431863778892,0.007452431863778892,1,12.934399604797363,12.934399604797363,71796.8499,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,9,16,151.32,316,8821.32308959961,0.007185103270870637,0.007185103270870637,1,12.645350456237793,12.645350456237793,80946.3787,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,10,18,154.54,327,8860.929105758667,0.007217362979914296,0.007217362979914296,1,12.377449989318848,12.377449989318848,89767.7018,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,11,20,157.72,380,9636.282693862915,0.007848900397304364,0.007848900397304364,1,12.12600040435791,12.12600040435791,98628.6309,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,12,22,160.86,386,9408.870685577393,0.007663669820442936,0.007663669820442936,1,12.12600040435791,12.12600040435791,108264.9136,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,13,24,163.95,397,9017.918503761292,0.00734523325806005,0.00734523325806005,1,11.888649940490723,11.888649940490723,117673.7843,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,14,26,167.01,407,9659.252588272095,0.007867609729427743,0.007867609729427743,1,11.667750358581543,11.667750358581543,126691.7028,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,15,28,170.03,402,9943.413997650146,0.008099063565914546,0.008099063565914546,1,11.456250190734863,11.456250190734863,136350.9554,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,16,30,173.01,404,10361.297580718994,0.008439436168647023,0.008439436168647023,1,11.256500244140625,11.256500244140625,146294.3694,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,17,32,175.96,394,10245.548477172852,0.008345156744342719,0.008345156744342719,1,11.068499565124512,11.068499565124512,156655.667,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,18,34,178.87,414,10710.092908859253,0.008723535325613593,0.008723535325613593,1,10.889900207519531,10.889900207519531,166901.2155,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,19,36,181.75,449,10899.775287628174,0.008878034539198224,0.008878034539198224,1,10.889900207519531,10.889900207519531,177611.30839999998,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,20,38,184.59,451,10847.444519996643,0.008835410324456583,0.008835410324456583,1,10.718350410461426,10.718350410461426,188511.0837,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,21,40,187.41,476,11331.789695739746,0.00922991691616789,0.00922991691616789,1,10.55620002746582,10.55620002746582,199358.5282,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,22,42,190.19,489,11824.752709388733,0.009631442869339655,0.009631442869339655,1,10.403450012207031,10.403450012207031,210690.3179,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,23,44,192.94,515,12316.838596343994,0.010032254389334893,0.010032254389334893,1,10.255399703979492,10.255399703979492,222515.0706,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,24,46,195.66,520,12347.660496711731,0.010057359301024136,0.010057359301024136,1,10.11205005645752,10.11205005645752,234831.9092,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,25,48,198.36,586,12880.729476928711,0.010491552180533614,0.010491552180533614,1,10.11205005645752,10.11205005645752,247179.5697,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,26,50,201.03,646,13611.420407295227,0.01108671117657604,0.01108671117657604,1,9.978099822998047,9.978099822998047,260060.2992,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,27,52,203.67,647,13878.302191734314,0.01130409049290217,0.01130409049290217,1,9.846500396728516,9.846500396728516,273671.7196,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,28,54,206.28,654,14152.742692947388,0.011527626500244458,0.011527626500244458,1,9.721949577331543,9.721949577331543,287550.0218,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,29,56,208.87,694,15051.082001686096,0.01225933767780922,0.01225933767780922,1,9.602100372314453,9.602100372314453,301702.7645,-56.29999923706055,56.29999923706055,-57.0,58.0
1,1,30,58,211.44,712,15523.022584915161,0.012643740538216146,0.012643740538216146,1,9.486949920654297,9.486949920654297,316753.8465,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,31,60,213.98,791,16544.010073661804,0.013475350543926125,0.013475350543926125,1,9.486949920654297,9.486949920654297,332276.86909999995,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,32,62,216.5,821,16757.722224235535,0.013649422376066877,0.013649422376066877,1,9.374150276184082,9.374150276184082,348820.87919999997,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,33,64,219.0,938,17297.751505851746,0.014089284528070048,0.014089284528070048,1,9.266050338745117,9.266050338745117,365578.6014,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,34,66,221.48,1001,18197.144907951355,0.014821854280882342,0.014821854280882342,1,9.162650108337402,9.162650108337402,382876.35289999994,-56.29999923706055,56.29999923706055,-56.0,58.0
1,1,35,68,223.94,981,19300.119186401367,0.015720243787227594,0.015720243787227594,1,9.061599731445312,9.061599731445312,401073.49779999995,-56.29999923706055,56.29999923706055,-56.0,56.0
1,1,36,70,226.37,1006,20075.579498291016,0.016351868132781586,0.016351868132781586,1,9.061599731445312,9.061599731445312,420373.61699999997,-56.29999923706055,56.29999923706055,-57.0,56.0
1,1,37,72,228.79,1045,20728.223709106445,0.016883456875900343,0.016883456875900343,1,8.965250015258789,8.965250015258789,440449.19649999996,-56.29999923706055,56.29999923706055,-56.0,55.0
1,1,38,74,231.19,1086,22117.596304893494,0.018015122214654043,0.018015122214654043,1,8.87125015258789,8.87125015258789,461177.4202,-56.29999923706055,56.29999923706055,-56.0,56.0
1,1,39,76,233.58,1108,23105.551916122437,0.018819827248311105,0.018819827248311105,1,8.779600143432617,8.779600143432617,483295.01649999997,-56.29999923706055,56.29999923706055,-57.0,56.0
1,1,40,78,235.94,1183,24278.640105247498,0.01977532561279565,0.01977532561279565,1,8.692649841308594,8.692649841308594,506400.56839999993,-56.29999923706055,56.29999923706055,-57.0,56.0
1,1,41,80,238.29,1403,25414.187105178833,0.020700246101543366,0.020700246101543366,1,8.60569953918457,8.60569953918457,530679.2085,-56.29999923706055,56.29999923706055,-57.0,56.0
1,1,42,82,240.63,1605,27115.45131111145,0.02208595195161856,0.02208595195161856,1,8.60569953918457,8.60569953918457,556093.3955999999,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,43,84,242.95,1659,28135.87407684326,0.022917101981751203,0.022917101981751203,1,8.523449897766113,8.523449897766113,583208.8469,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,44,86,245.25,1744,32120.519500732422,0.026162656937356532,0.026162656937356532,1,8.441200256347656,8.441200256347656,611344.721,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,45,88,247.54,1759,37436.48699378967,0.030492594185346087,0.030492594185346087,1,8.361300468444824,8.361300468444824,643465.2405,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,46,90,249.82,1802,35815.361068725586,0.02917216219704218,0.02917216219704218,1,8.286100387573242,8.286100387573242,680901.7274999999,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,47,92,252.09,1811,32724.327607154846,0.02665446792266655,0.02665446792266655,1,8.21090030670166,8.21090030670166,716717.0885999999,-56.29999923706055,56.29999923706055,-57.0,57.0
1,1,48,94,254.34,3550,60218.29922199249,0.0490487304808426,0.0490487304808426,1,8.138050079345703,8.138050079345703,749441.4161999999,-56.29999923706055,56.29999923706055,-56.0,57.0
1,1,49,96,256.58,3616,86679.82619667053,0.07060205100734658,0.07060205100734658,1,8.138050079345703,8.138050079345703,809659.7153999999,-56.29999923706055,56.29999923706055,-56.0,55.0
1,1,50,98,258.81,3617,103146.18733882904,0.08401415530282934,0.08401415530282934,1,8.067549705505371,8.067549705505371,896339.5415999996,-56.29999923706055,56.29999923706055,-56.0,55.0
1,1,51,100,261.03,3607,84481.04592227936,0.06881111067096095,0.06881111067096095,1,7.9994001388549805,7.9994001388549805,999485.7289999998,-56.29999923706055,56.29999923706055,-56.0,57.0
1,1,52,102,263.23,3600,74651.0725183487,0.06080444621260707,0.06080444621260707,1,7.931250095367432,7.931250095367432,1083966.7749,-56.29999923706055,56.29999923706055,-56.0,57.0
1,1,53,104,265.43,3592,69106.06384563446,0.05628795140262801,0.05628795140262801,1,7.865449905395508,7.865449905395508,1158617.8474000003,-56.29999923706055,56.29999923706055,-56.0,57.0
