Check,Status,Details
CT_FILES_READABLE,PASS,read 195 DICOM file(s)
RTPLAN_FILES_READABLE,PASS,read 1 DICOM file(s)
RTDOSE_FILES_READABLE,PASS,read 3 DICOM file(s)
RTSTRUCT_FILES_READABLE,PASS,read 1 DICOM file(s)
CT_COUNT,PASS,found 195 slice(s); at least 2 are required for a 3D volume
CT_MODALITY,PASS,values=['CT']
CT_SINGLE_SERIES,PASS,SeriesInstanceUID=['2.16.840.1.114362.1.11897988.26068996800.649860801.1027.1']
CT_SINGLE_FRAME,PASS,FrameOfReferenceUID=['1.3.12.2.1107.5.99.3.99.107016.30000019022311404450200000242']
CT_PATIENT_POSITION_PRESENT,PASS,PatientPosition=['HFS']; current TOPAS geometry implementation supports only HFS and requires a separate compatibility gate
CT_ORIENTATION_CONSISTENT_AXIAL,PASS,"ImageOrientationPatient=[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
CT_SLICE_ORDER_AND_SPACING,PASS,projection range=100..488 mm; spacing=2 mm; gaps=0
CT_PIXEL_SPACING,PASS,"PixelSpacing=[1.0, 1.0] mm"
CT_MATRIX_CONSISTENT,PASS,"Rows x Columns=[(512, 512)]"
CT_SOP_UIDS_UNIQUE,PASS,"unique=195, files=195"
CT_PIXEL_DATA_READABLE,PASS,rescaled range=0..0; nonzero voxels=0; nonconstant slices=0/195
CT_UNIFORM_ARTIFICIAL_PHANTOM,WARN,all CT voxels are 0 HU; metadata='QA Phantom PTW MP3-P QA phantom Artificial CT Dummy'. Use RTSTRUCT External to separate the water phantom from surrounding air in TOPAS
RTPLAN_SINGLE_FILE,PASS,found 1 RTPLAN file(s); using RTPLAN_00001.dcm
RTPLAN_ION_PLAN_STORAGE,PASS,SOPClassUID=1.2.840.10008.5.1.4.1.1.481.8
RTPLAN_ISOCENTER_AVAILABLE,PASS,"isocenter(s)=[[405.5, 355.5, 294.0]]"
RTPLAN_BEAM_AVAILABLE,PASS,"beam geometry=[{'number': '1', 'name': '1', 'control_points': 106, 'gantry_deg': '90.0', 'support_deg': '0.0', 'pitch_deg': 0.0, 'roll_deg': 0.0, 'isocenter_mm': [405.5, 355.5, 294.0]}]"
RTSTRUCT_SINGLE_FILE,PASS,found 1 RTSTRUCT file(s); using RTSTRUCT_00001.dcm
RTPLAN_REFERENCES_RTSTRUCT,PASS,plan refs=['1.2.826.0.1.3680043.10.1049.20250915163922448000000011']; RTSTRUCT SOPInstanceUID=1.2.826.0.1.3680043.10.1049.20250915163922448000000011
RTSTRUCT_REFERENCES_CT_FRAME,PASS,CT=['1.3.12.2.1107.5.99.3.99.107016.30000019022311404450200000242']; RTSTRUCT refs=['1.3.12.2.1107.5.99.3.99.107016.30000019022311404450200000242']
RTSTRUCT_REFERENCES_CT_SERIES,PASS,CT=['2.16.840.1.114362.1.11897988.26068996800.649860801.1027.1']; RTSTRUCT refs=['2.16.840.1.114362.1.11897988.26068996800.649860801.1027.1']
RTSTRUCT_REFERENCES_ALL_CT_IMAGES,PASS,CT SOPs=195; RTSTRUCT image refs=195; missing=0; extra=0
RTSTRUCT_CONTOUR_REFS_IN_CT,PASS,unique contour refs=151; refs outside CT=0
COMMON_PATIENT_ID,PASS,PatientID values=['poi']
COMMON_PATIENT_NAME,PASS,PatientName values=['poi-0915']
COMMON_STUDY_INSTANCE_UID,PASS,StudyInstanceUID values=['1.3.12.2.1107.5.99.3.99.107016.30000019022311404450200000140']
RPPD_IDENTIFIED,PASS,candidate file(s)=['RTDOSE_00003.dcm']
RTDOSE_REFERENCES_RTPLAN,PASS,RTPLAN SOPInstanceUID=1.2.826.0.1.3680043.10.1049.20260427104048539000015845; checked 3 dose file(s)
COMMON_FRAME_OF_REFERENCE,PASS,FrameOfReferenceUIDs=['1.3.12.2.1107.5.99.3.99.107016.30000019022311404450200000242']
RTDOSE_GRIDS_IDENTICAL,PASS,checked 3 grid signature(s)
RPPD_GRID_REGULAR,PASS,"frames x rows x columns=153 x 152 x 201; PixelSpacing=[2.0, 2.0]; frame step=2.0 mm"
CT_RPPD_ORIENTATION_MATCH,PASS,"CT=[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]; RPPD=[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
ISOCENTER_INSIDE_CT,PASS,"isocenter patient mm=[405.5, 355.5, 294.0]; CT continuous index [column,row,slice]=[305.5, 255.5, 97.0]"
ISOCENTER_INSIDE_RPPD,PASS,"RPPD continuous index [column,row,frame]=[125.25, 75.25, 76.0]"
RTSTRUCT_ISO_MATCHES_PLAN,PASS,"closest RTSTRUCT ROI named iso is 0 mm from plan isocenter; point(s)=[[405.5, 355.5, 294.0]]"
RPPD_GRID_INSIDE_CT_FOV,PASS,"CT bounds mm=[99.5, 99.5, -94.0]..[611.5, 611.5, 682.0]; RPPD bounds mm=[154.0, 204.0, 141.0]..[556.0, 508.0, 447.0]"
